,territory_id,territory_name,region_manager_name,residence_city,residence_state,region_manager_email,region_manager_phone,active_customers,title,sales_2022,sales_2023,sales_2024,sales_2025,total_sales,Lead_Conversion_Rate,Quota_Attainment,Avg_Deal_Size,sales_2025_full_year,sales_2026,quota_hit_2026
0,TERR-3071,Northeast,Chance Evers,New York,NY,chance.evers@neuverra.com,(212) 738-7283,104.0,CDM,41300.0,239500.0,210500.0,188700.0,680000.0,37.78,145.7,25800.0,377400.0,415140.00000000006,1
1,TERR-8768,Southwest,Matt Ingells,Phoenix,AR,matt.ingells@neuverra.com,(480) 992-7872,98.0,CDM,121900.0,222100.0,235600.0,64900.0,644500.0,9.58,140.6,26400.0,129800.0,142780.0,0
2,87eeac0d-f056-439b-9dc3-c54fc6247957,Northeast,Sam Nelson,Boston,MA,sam.t.nelson@neuverra.com,(781) 810-8214,95.0,CDM,96800.0,150019.0,210800.0,178300.0,635919.0,5.24,126.7,26700.0,356600.0,392260.00000000006,1
3,TERR-6770,Southeast,Scott Lee,Atlanta,GA,scott.lee@neuverra.com,(706) 647-6624,110.0,CDM,89100.0,276000.0,134700.0,135800.0,635600.0,17.94,136.2,26700.0,271600.0,298760.0,1
4,TERR-9942,Southeast,Olivia Carter,Raleigh,NC,olivia.carter@neuverra.com,(919) 782-2783,94.0,CDM,0.0,218300.0,256700.0,137700.0,612700.0,8.31,142.5,29300.0,275400.0,302940.0,1
5,e5b4a065-2b03-4782-9f11-65d3d30bba83,Northeast,Chase Ryder,Hartford,CT,chase.ryder@neuverra.com,(209) 906-1678,90.0,CDM,133800.0,165300.0,134000.0,164200.0,597300.0,39.92,132.5,23000.0,328400.0,361240.00000000006,1
6,5a3dcc23-1d94-4791-adad-b8e60a7b8b58,Mid-Atlantic,Shelby Rebert,Washington,DC,shelby.rebert@neuverra.com,(989) 812-5602,82.0,CDM,43400.0,161000.0,258900.0,125900.0,589200.0,20.11,125.5,18900.0,251800.0,276980.0,1
7,72eda3bd-ef6b-4493-bd45-868eb3400bab,Mountain Region,Verna Green,Denver,CO,verna.green@neuverra.com,(408) 365-2109,87.0,CDM,41700.0,198400.0,272900.0,67300.0,580300.0,30.55,123.9,23700.0,134600.0,148060.0,0
8,aa393060-dc68-480a-81d8-0280db80768c,Pacific Coast,Ryla McGowen,Palo Alto,CA,ryla.mcgowen@neuverra.com,(540) 244-6638,90.0,CDM,85700.0,204900.0,215400.0,67900.0,573900.0,30.55,111.5,19600.0,135800.0,149380.0,0
9,325e40a9-bd07-47c7-998c-aea94285c5d8,Central,Emily McNess,St. Louis,MO,emily.mcness@neuverra.com,(301) 808-1718,84.0,CDM,99600.0,172600.0,180600.0,118400.0,571200.0,38.95,112.74,16700.0,236800.0,260480.00000000003,0
10,89b7983a-46c6-43d8-a39b-9719360d339e,Mid-Atlantic,Alicia Pullman,Wilmington,DE,alicia.pullman@neuverra.com,(302) 408-6730,75.0,CDM,32800.0,197800.0,217900.0,120400.0,568900.0,5.45,115.5,15800.0,240800.0,264880.0,0
11,56d06f42-81d5-47a7-9c45-c4d41e109521,Southeast,Marvin Short,Tampa,FL,marvin.short@neuverra.com,(727) 524-1475,72.0,CDM,10900.0,195100.0,217500.0,99900.0,523400.0,19.26,131.7,25200.0,199800.0,219780.00000000003,0
12,e65b0356-682a-4faa-bfd6-2f6ab3425831,Southeast,Dave Fantonetti,Nashville,TN,david.fantonetti@neuverra.com,(615) 485-7637,52.0,CDM,92700.0,185200.0,204500.0,32700.0,515100.0,34.36,100.04,25300.0,65400.0,71940.0,0
13,f4ea00fa-edac-4a37-90c6-3f547507a45f,Mountain Region,Dee Hill,Minneapolis,MN,delores.hill@neuverra.com,(801) 271-4317,73.0,CDM,54100.0,196100.0,177500.0,80900.0,508600.0,37.99,108.4,16800.0,161800.0,177980.0,0
14,df55b4e5-9ad1-4286-ae87-86dd5c2bd24f,Northeast,Eve Goodwin,Albany,NY,evelyn.goodwin@neuverra.com,(717) 416-3495,90.0,CDM,0.0,175900.0,198600.0,123800.0,498300.0,38.87,103.4,21900.0,247600.0,272360.0,0
15,3bc30e45-fdf1-47d7-b928-b4911632c422,Great Lakes,Sam Martinez,Cincinnati,OH,sam.martinez@neuverra.com,(513) 778-4400,69.0,CDM,43600.0,135600.0,236800.0,74800.0,490800.0,31.5,91.92,19600.0,149600.0,164560.0,0
16,59aba40a-0c10-4a72-88e7-9dd9fba90b41,Midwest,Mickie Eplett,Des Moines,IA,mickie.eplett@neuverra.com,(202) 459-6635,52.0,CDM,56800.0,156800.0,204900.0,55300.0,473800.0,5.04,95.7,16800.0,110600.0,121660.00000000001,0
17,72c3d2e1-9d7d-46fe-906a-6b217166c7fc,Mid-Atlantic,Ava Templeton,Newark,NJ,ava.templeton@neuverra.com,(410) 654-4526,70.0,CDM,18300.0,200100.0,195700.0,57200.0,471300.0,34.84,104.1,14200.0,114400.0,125840.00000000001,0
18,TERR-3860,Pacific Coast,Wayne Cooper,Las Vegas,NV,wayne.cooper@neuverra.com,(725) 889-3787,61.0,CDM,34000.0,156900.0,162900.0,117400.0,471200.0,24.76,98.6,17400.0,234800.0,258280.00000000003,0
19,5212159a-232b-46a1-b9bd-5ad98b86a8b9,Southeast,Linda King,Jacksonville,FL,linda.king@neuverra.com,(904) 609-5500,66.0,CDM,60100.0,219400.0,124300.0,62500.0,466300.0,6.88,90.6,20800.0,125000.0,137500.0,0
